docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
000-000-1462632183;000-000;070-105;1207;105-070;1029;105-105;1010;818
000-000-1462632184;000-000;105-105;1023;105-070;944;105-140;814;895
000-000-1462632185;000-000;105-070;855;105-105;809;105-140;805;770
000-000-1462632186;000-000;070-105;1098;105-105;961;105-070;783;819
000-000-1462632187;000-000;070-105;1301;105-070;954;000-105;815;1017
000-000-1462632188;000-000;070-105;904;105-070;892;035-105;888;973
000-000-1462632189;000-000;105-140;879;105-105;852;140-070;771;852
000-000-1462632190;000-000;105-140;864;105-105;863;070-105;716;852
000-000-1462632191;000-000;070-105;1357;105-105;999;105-070;927;980
000-000-1462632192;000-000;105-105;1015;070-105;986;035-105;934;980
000-000-1462632193;000-000;070-105;1013;105-140;892;053-105;775;819
000-000-1462632194;000-000;035-140;1504;035-105;998;000-105;949;1018
000-000-1462632195;000-000;035-140;1408;035-105;982;000-105;888;1056
000-000-1462632196;000-000;035-105;1601;035-140;1110;018-105;1044;891
000-000-1462632197;000-000;035-105;1074;000-105;891;018-123;766;891
000-000-1462632198;000-000;035-105;1185;018-088;759;035-070;730;852
000-000-1462632199;000-000;035-140;1189;035-105;995;000-105;858;969
000-000-1462632200;000-000;035-105;1078;035-140;1006;000-105;947;851
000-000-1462632201;000-000;035-105;1222;035-140;1207;035-070;737;810
000-000-1462632202;000-000;035-105;1446;035-140;1439;018-088;1107;964
000-000-1462632203;000-000;035-140;1602;018-088;1253;053-105;813;765
000-000-1462632204;000-000;035-105;1348;035-140;1261;018-105;1013;812
000-000-1462632205;000-000;035-140;1169;035-105;880;000-105;781;803
000-000-1462632206;000-000;035-140;1305;000-105;1060;000-140;722;845
000-000-1462632207;000-000;035-140;1335;000-105;884;000-140;808;1048
000-000-1462632208;000-000;035-140;1172;035-105;1109;018-105;1061;965
000-000-1462632209;000-000;000-105;932;035-105;855;000-140;825;880
000-000-1462632210;000-000;035-140;1273;035-105;884;018-105;862;1084
000-000-1462632211;000-000;035-140;1443;035-105;1274;018-105;1061;1093
000-000-1462632212;000-000;035-140;1427;035-105;1173;018-105;1110;965
000-000-1462632213;000-000;035-140;851;000-105;774;035-105;709;970
000-000-1462632214;000-000;035-140;1110;035-105;756;053-105;724;814
000-000-1462632215;000-000;035-140;1501;035-105;890;000-035;685;974
000-000-1462632216;000-000;035-140;1689;035-105;841;053-105;701;816
000-000-1462632217;000-000;035-140;1601;053-105;775;035-105;749;814
000-000-1462632218;000-000;035-140;1651;070-140;765;053-105;748;883
000-000-1462632219;000-000;035-140;1158;105-105;958;070-140;842;955
000-000-1462632220;000-000;035-140;1488;070-105;1183;070-140;881;1032
000-000-1462632221;000-000;035-140;1377;070-140;776;035-105;757;883
000-000-1462632222;000-000;035-140;1687;070-105;1194;105-105;793;1062
000-000-1462632223;000-000;035-140;1527;105-105;996;035-105;854;1016
000-000-1462632224;000-000;105-105;991;105-140;960;035-105;789;778
000-000-1462632225;000-000;105-070;918;105-140;918;105-105;839;854
000-000-1462632226;000-000;105-140;934;105-105;925;140-070;699;775
000-000-1462632227;000-000;105-105;1023;105-140;835;140-070;759;928
000-000-1462632228;000-000;105-105;950;140-140;883;105-070;845;1092
000-000-1462632229;000-000;105-070;935;140-140;888;070-105;882;841
000-000-1462632230;000-000;105-105;953;105-070;901;070-105;898;1095
000-000-1462632231;000-000;035-105;1227;105-105;949;070-105;888;1097
