docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
000-000-1462632095;000-000;105-105;988;105-070;931;140-000;744;975
000-000-1462632096;000-000;105-105;884;140-000;739;000-035;662;890
000-000-1462632097;000-000;105-105;817;105-035;782;140-000;737;931
000-000-1462632098;000-000;105-035;738;140-000;693;105-000;654;775
000-000-1462632099;000-000;140-000;819;105-105;799;070-035;640;928
000-000-1462632100;000-000;140-000;862;105-105;726;105-000;637;734
000-000-1462632101;000-000;140-000;861;070-035;805;105-035;673;695
000-000-1462632102;000-000;140-000;713;140-035;640;105-000;604;630
000-000-1462632103;000-000;140-000;897;070-035;763;105-000;654;764
000-000-1462632104;000-000;140-000;987;105-035;888;105-070;761;917
000-000-1462632105;000-000;140-000;1005;070-035;736;105-035;719;796
000-000-1462632106;000-000;105-035;1242;140-000;926;070-105;649;877
000-000-1462632107;000-000;105-105;919;140-000;834;070-105;695;888
000-000-1462632108;000-000;140-000;844;105-105;835;105-035;761;923
000-000-1462632109;000-000;105-105;979;105-035;750;140-000;742;973
000-000-1462632110;000-000;105-035;813;105-105;770;140-000;742;852
000-000-1462632111;000-000;070-035;813;140-000;700;105-000;635;700
000-000-1462632112;000-000;105-035;1129;070-035;719;105-000;669;810
000-000-1462632113;000-000;105-035;821;035-035;724;105-000;657;705
000-000-1462632114;000-000;105-035;1301;070-000;779;105-070;728;697
000-000-1462632115;000-000;105-035;1372;070-000;761;035-035;721;731
000-000-1462632116;000-000;105-035;1228;070-000;800;070-035;731;843
000-000-1462632117;000-000;105-035;919;035-000;851;070-000;809;801
000-000-1462632118;000-000;105-035;1206;000-035;886;035-000;866;1034
000-000-1462632119;000-000;105-035;1118;070-000;801;035-000;754;882
000-000-1462632120;000-000;105-035;1181;035-000;759;070-000;715;886
000-000-1462632121;000-000;035-000;1056;105-035;771;105-105;655;738
000-000-1462632122;000-000;035-000;930;000-035;888;105-035;815;920
000-000-1462632123;000-000;035-000;849;105-105;740;035-035;668;743
000-000-1462632124;000-000;035-000;903;000-035;855;105-070;805;889
000-000-1462632125;000-000;035-000;1025;070-105;780;105-035;773;847
000-000-1462632126;000-000;035-000;1010;000-035;923;000-000;671;809
000-000-1462632127;000-000;035-000;1039;000-035;899;000-000;690;811
000-000-1462632128;000-000;105-035;1003;035-000;941;105-105;756;928
000-000-1462632129;000-000;035-000;964;000-000;863;070-105;768;882
000-000-1462632130;000-000;000-000;978;000-035;887;035-070;863;1037
000-000-1462632131;000-000;000-000;1019;000-035;983;035-000;915;941
000-000-1462632132;000-000;000-000;964;035-000;927;000-035;873;831
000-000-1462632133;000-000;000-000;1050;035-000;987;105-035;654;868
000-000-1462632134;000-000;000-000;923;035-000;911;070-105;783;959
000-000-1462632135;000-000;035-000;943;105-035;891;000-000;770;926
000-000-1462632136;000-000;035-000;1017;000-035;967;000-000;695;804
000-000-1462632137;000-000;035-000;981;000-000;759;105-035;722;881
000-000-1462632138;000-000;035-000;1007;000-000;879;105-035;721;841
000-000-1462632139;000-000;035-000;946;105-035;899;000-035;828;924
000-000-1462632140;000-000;105-035;1067;035-000;874;000-035;784;1013
000-000-1462632141;000-000;105-035;1193;035-000;937;000-035;827;929
000-000-1462632142;000-000;105-035;1037;035-000;912;000-035;821;967
000-000-1462632143;000-000;000-035;1049;035-000;980;105-035;941;885
000-000-1462632144;000-000;000-035;815;105-105;743;070-035;628;777
000-000-1462632145;000-000;105-035;951;035-000;909;000-035;901;883
000-000-1462632146;000-000;105-035;1059;000-035;929;035-070;878;1167
000-000-1462632147;000-000;105-035;1100;000-035;996;035-070;922;968
000-000-1462632148;000-000;105-035;1176;105-105;749;035-000;744;892
000-000-1462632149;000-000;105-035;1089;035-000;951;070-035;683;847
000-000-1462632150;000-000;105-035;985;035-000;966;000-035;719;804
000-000-1462632151;000-000;105-035;1088;035-000;803;070-035;769;731
000-000-1462632152;000-000;105-035;1106;035-000;801;070-035;744;768
000-000-1462632153;000-000;105-035;1223;035-000;743;105-105;732;890
000-000-1462632154;000-000;105-035;1039;070-105;981;105-105;896;1089
000-000-1462632155;000-000;105-035;890;070-000;819;070-035;718;873
000-000-1462632156;000-000;105-035;1603;105-070;971;105-105;691;932
000-000-1462632157;000-000;105-035;1205;140-000;703;070-035;696;844
000-000-1462632158;000-000;105-035;1270;070-035;701;035-000;683;812
000-000-1462632159;000-000;105-035;1535;105-105;762;105-070;736;892
000-000-1462632160;000-000;070-035;806;105-035;791;105-000;661;704
000-000-1462632161;000-000;105-035;867;070-035;730;105-000;679;778
000-000-1462632162;000-000;105-035;918;070-035;804;140-000;664;703
000-000-1462632163;000-000;105-035;961;105-070;736;140-000;698;773
000-000-1462632164;000-000;105-070;792;070-035;709;140-000;692;665
000-000-1462632165;000-000;140-000;766;140-035;682;105-105;652;628
000-000-1462632166;000-000;105-105;968;070-035;704;140-035;667;672
000-000-1462632167;000-000;140-035;734;105-105;696;105-070;641;540
000-000-1462632168;000-000;105-105;913;105-070;762;140-070;757;774
000-000-1462632169;000-000;105-105;895;140-070;767;105-070;714;737
000-000-1462632170;000-000;105-105;1005;140-070;825;105-070;741;809
000-000-1462632171;000-000;105-140;858;140-070;833;105-105;786;928
000-000-1462632172;000-000;105-105;962;140-070;949;105-140;779;918
000-000-1462632173;000-000;140-070;973;105-105;831;105-070;651;837
000-000-1462632174;000-000;140-070;1004;105-105;947;105-140;791;952
000-000-1462632175;000-000;140-070;906;105-105;794;105-140;775;883
