docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
150-038-000-000-1463738500;000-000;135-025;873;113-013;754;128-013;726;2994
150-038-000-000-1463738510;000-000;135-025;907;128-038;689;128-013;684;3081
150-038-000-000-1463738520;000-000;128-013;734;135-025;686;180-050;660;3080
150-038-000-000-1463738530;000-000;135-025;956;150-025;666;180-050;654;3155
150-038-000-000-1463738540;000-000;128-013;756;135-025;721;143-013;690;3394
150-038-000-000-1463738550;000-000;135-025;849;180-050;697;128-013;681;3012
150-038-000-000-1463738560;000-000;135-025;871;128-013;668;128-038;667;3312
150-038-000-000-1463738570;000-000;135-025;871;128-013;675;150-025;636;3317
150-038-000-000-1463738580;000-000;135-025;822;180-050;647;128-013;644;3310
150-038-000-000-1463738590;000-000;135-025;847;158-013;740;128-038;671;3543
150-038-000-000-1463738600;000-000;135-025;874;113-013;647;128-038;640;3245
150-038-000-000-1463738610;000-000;135-025;871;128-038;720;143-013;617;2848
150-038-000-000-1463738620;000-000;135-025;906;128-038;684;180-050;633;3079
150-038-000-000-1463738630;000-000;135-025;867;128-013;685;150-025;674;3233
150-038-000-000-1463738640;000-000;135-025;878;180-050;708;128-038;703;3012
150-038-000-000-1463738650;000-000;135-025;851;180-050;732;150-025;667;2933
150-038-000-000-1463738660;000-000;128-013;786;135-025;765;143-013;648;3159
150-038-000-000-1463738670;000-000;135-025;905;128-013;689;143-013;640;3006
150-038-000-000-1463738680;000-000;135-025;829;128-038;816;158-013;679;3538
150-038-000-000-1463738690;000-000;135-025;871;158-013;647;180-050;623;3319
150-038-000-000-1463738700;000-000;135-025;846;158-013;704;143-038;675;3625
150-038-000-000-1463738710;000-000;135-025;938;128-013;635;150-025;628;2935
150-038-000-000-1463738720;000-000;135-025;727;128-038;723;128-013;710;3312
150-038-000-000-1463738730;000-000;135-025;839;165-050;686;128-013;674;3467
150-038-000-000-1463738740;000-000;135-025;936;180-050;706;075-050;637;2518
150-038-000-000-1463738750;000-000;135-025;888;150-025;675;158-013;664;3149
150-038-000-000-1463738760;000-000;135-025;754;128-013;659;158-013;654;3467
150-038-000-000-1463738770;000-000;135-025;804;158-013;683;180-050;679;3235
150-038-000-000-1463738780;000-000;135-025;807;158-013;718;128-013;681;3232
150-038-000-000-1463738790;000-000;135-025;839;158-013;658;128-013;650;3471
150-038-000-000-1463738800;000-000;135-025;807;128-013;717;120-050;692;3082
150-038-000-000-1463738810;000-000;135-025;847;090-025;684;128-013;640;3241
150-038-000-000-1463738820;000-000;135-025;815;180-050;668;128-013;660;2939
150-038-000-000-1463738830;000-000;135-025;874;180-050;668;128-013;620;2866
150-038-000-000-1463738840;000-000;135-025;855;150-025;688;128-013;669;3019
150-038-000-000-1463738850;000-000;135-025;808;128-038;710;128-013;695;3303
150-038-000-000-1463738860;000-000;135-025;741;180-050;684;128-013;682;2798
150-038-000-000-1463738870;000-000;135-025;829;128-038;696;180-050;648;3320
150-038-000-000-1463738880;000-000;135-025;796;128-013;712;158-013;685;3306
150-038-000-000-1463738890;000-000;135-025;878;158-013;687;128-013;638;3467
150-038-000-000-1463738900;000-000;135-025;828;158-013;670;113-013;629;3551
150-038-000-000-1463738910;000-000;135-025;870;143-038;777;158-013;716;3698
150-038-000-000-1463738920;000-000;158-013;723;135-025;705;128-013;684;3298
150-038-000-000-1463738930;000-000;135-025;817;128-038;721;143-038;701;3791
150-038-000-000-1463738940;000-000;135-025;864;150-025;671;165-000;649;3076
150-038-000-000-1463738950;000-000;135-025;792;180-050;683;143-013;649;3015
150-038-000-000-1463738960;000-000;135-025;794;180-050;749;128-013;684;2787
150-038-000-000-1463738970;000-000;135-025;775;180-050;671;128-013;669;3079
150-038-000-000-1463738980;000-000;135-025;783;120-050;726;128-038;697;3880
150-038-000-000-1463738990;000-000;135-025;851;128-013;696;128-038;666;3319
150-038-000-000-1463739000;000-000;150-000;796;135-025;728;113-013;675;3088
165-038-000-000-1463738340;000-000;135-025;865;128-038;692;158-013;668;3080
165-038-000-000-1463738350;000-000;135-025;891;150-025;683;158-013;654;3154
165-038-000-000-1463738360;000-000;135-025;842;150-025;673;113-013;665;3164
165-038-000-000-1463738370;000-000;135-025;828;150-025;756;113-013;672;2792
165-038-000-000-1463738380;000-000;135-025;886;150-025;686;180-025;633;2588
165-038-000-000-1463738390;000-000;135-025;879;128-013;665;105-050;630;2942
165-038-000-000-1463738400;000-000;135-025;843;180-050;697;113-013;654;2789
165-038-000-000-1463738410;000-000;135-025;808;158-013;670;113-013;660;3471
165-038-000-000-1463738420;000-000;135-025;840;158-013;684;180-050;660;3005
165-038-000-000-1463738430;000-000;135-025;791;128-038;694;180-050;661;3003
165-038-000-000-1463738440;000-000;135-025;981;150-025;650;158-013;633;2704
165-038-000-000-1463738450;000-000;135-025;818;090-025;683;150-025;658;3466
165-038-000-000-1463738460;000-000;135-025;791;158-013;717;150-025;677;2999
165-038-000-000-1463738470;000-000;135-025;815;158-013;805;150-025;686;3219
