docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
X23-075-075-1463734700;075-075;075-075;1092;060-050;686;053-013;620;1850
X22-105-050-1463737820;105-050;105-050;729;120-025;675;090-025;668;1265
B107-150-100-1463735090;150-100;150-100;1176;128-038;617;180-100;602;1399
MB508-030-050-1463737860;030-050;030-050;1409;045-050;651;090-025;646;2477
X7-183-038-1463737620;183-038;183-038;782;158-038;657;120-050;653;1786
X20-165-000-1463737050;165-000;165-000;864;158-013;714;173-013;656;1884
X4-090-025-1463737980;090-025;090-025;779;075-025;720;075-050;706;1679
B106-000-050-1463734080;000-050;000-050;1023;045-050;646;015-050;632;1555
MB17-090-050-1463737050;090-050;090-050;1422;075-050;645;098-013;643;2094
B102-143-038-1463737690;143-038;158-038;734;143-038;686;135-025;652;1844
B105-060-050-1463733910;060-050;045-050;727;060-050;659;038-038;653;1521
MB17-090-050-1463738100;090-050;090-050;1373;180-025;648;128-038;631;2290
X3-105-025-1463736900;105-025;120-050;754;105-025;717;143-013;647;1680
B105-098-013-1463736760;098-013;098-013;776;015-025;694;090-025;687;1222
B106-000-050-1463734380;000-050;000-050;1061;015-050;804;045-050;712;1158
B13-000-000-1463734200;000-000;000-000;1485;015-000;669;000-050;653;2546
X25-015-075-1463734790;015-075;015-075;1581;000-050;768;045-075;750;2084
X20-165-075-1463734400;165-075;165-075;1045;105-075;764;150-100;728;2266
B108-053-013-1463736950;053-013;120-050;698;053-013;682;090-025;659;1738
X7-183-013-1463736910;183-013;183-013;767;150-025;711;128-013;662;1409
X23-075-000-1463737010;075-000;075-000;807;090-025;679;128-013;676;1790
MB291-180-100-1463736950;180-100;180-100;1472;000-100;637;098-013;632;1533
X5-045-025-1463737050;045-025;045-025;689;030-025;673;083-013;634;1736
X20-165-075-1463734870;165-075;165-075;1433;150-100;764;183-038;683;2072
X6-015-025-1463734840;015-025;015-025;978;030-025;656;015-050;646;1078
MB508-030-050-1463733800;030-050;030-050;1347;030-025;654;075-075;645;2559
MB508-030-050-1463736900;030-050;030-050;1354;075-075;698;030-025;657;2489
B17-060-000-1463734230;060-000;060-000;1385;083-013;679;030-000;678;3305
B102-030-000-1463735020;030-000;030-000;1434;045-000;803;105-025;738;2949
MB17-090-050-1463737830;090-050;090-050;1381;180-025;645;098-013;640;2223
X5-045-025-1463733880;045-025;045-025;716;038-013;688;030-025;684;1736
X24-045-075-1463734010;045-075;045-075;1540;030-100;715;068-038;689;1899
B109-038-013-1463736860;038-013;038-013;779;045-050;721;030-025;672;1358
B108-090-100-1463734920;090-100;090-100;905;105-075;658;075-050;652;1625
X22-105-000-1463737070;105-000;105-000;893;113-013;826;090-025;639;1778
B108-090-100-1463735020;090-100;090-100;737;060-050;644;083-038;632;1736
B100-150-000-1463733810;150-000;150-000;1758;183-038;669;165-050;659;2946
B105-098-013-1463737110;098-013;098-013;812;105-050;695;045-025;653;1312
B100-173-013-1463736530;173-013;165-025;767;173-013;757;183-013;644;1673
B17-060-000-1463733870;060-000;060-000;1367;045-000;697;030-000;669;3070
X8-023-038-1463737690;023-038;023-038;962;030-025;665;045-025;663;2024
X7-183-013-1463736860;183-013;183-013;783;150-025;730;120-025;666;1457
MB315-120-100-1463733910;120-100;120-100;1436;030-025;651;098-013;641;1893
B108-090-100-1463734240;090-100;090-100;784;150-100;726;128-038;673;1577
X5-045-025-1463734920;045-025;105-025;805;045-025;789;038-013;689;1852
X6-030-025-1463737960;030-025;030-025;722;015-025;708;098-013;691;1417
X24-045-075-1463734400;045-075;045-075;1331;075-075;1023;030-100;665;1614
X3-120-025-1463737550;120-025;120-025;771;113-013;699;135-025;680;1668
X8-023-013-1463737040;023-013;023-013;885;030-025;713;053-038;675;1732
X22-105-075-1463734160;105-075;105-075;861;150-100;717;128-038;713;2221
B13-000-000-1463733980;000-000;000-000;1466;015-000;669;045-050;646;2548
X5-045-025-1463736660;045-025;045-025;699;045-050;672;038-038;634;1736
MB291-180-100-1463737890;180-100;180-100;1449;150-100;635;090-025;632;1499
B107-068-013-1463736700;068-013;068-013;774;090-025;689;038-013;674;1788
X6-015-025-1463734680;015-025;015-025;846;030-025;698;045-025;657;1262
B102-030-000-1463734200;030-000;030-000;1609;015-000;1010;045-025;643;2601
B104-113-013-1463736370;113-013;113-013;932;150-025;678;075-050;662;1405
MB508-030-050-1463737790;030-050;030-050;1331;015-075;1043;090-025;642;2422
B100-150-000-1463734630;150-000;150-000;1547;128-038;697;165-075;681;3082
MB508-030-050-1463734700;030-050;030-050;1414;045-050;643;090-025;639;2420
B17-060-000-1463737770;060-000;060-000;1370;023-038;710;030-000;679;3297
B102-143-038-1463737740;143-038;143-038;714;105-025;711;135-050;681;2326
