A107	1462044260	26	22	19	16
A107	1462044270	23	28	19	23
A107	1462044280	11	21	15	27
A107	1462044290	17	17	19	22
A107	1462044300	15	17	21	13
A107	1462044310	10	17	16	25
A107	1462044320	17	20	22	15
A107	1462044330	13	22	24	22
A107	1462044340	9	23	25	22
A107	1462044350	10	21	19	27
A107	1462044360	19	16	25	20
A107	1462044370	14	12	24	17
A107	1462044380	7	23	21	19
A107	1462044390	16	18	21	16
A107	1462044400	12	22	20	19
A107	1462044410	7	25	21	21
A107	1462044420	10	27	23	23
A107	1462044430	13	19	25	18
A107	1462044440	26	24	25	14
A107	1462044450	26	14	27	16
A107	1462044460	13	19	21	17
A107	1462044470	8	19	19	16
A107	1462044480	25	21	26	17
A107	1462044490	6	12	23	20
A107	1462044500	14	16	23	14
A107	1462044510	27	25	25	22
A107	1462044520	23	25	21	20
A107	1462044530	9	25	26	16
A107	1462044540	7	20	22	18
A107	1462044550	13	14	20	24
A107	1462044560	15	24	20	25
A107	1462044570	22	21	17	20
A107	1462044580	8	20	25	15
A107	1462044590	13	29	27	20
A107	1462044600	11	11	23	14
A107	1462044610	20	21	21	18
A107	1462044620	30	25	20	19
A107	1462044630	17	20	23	21
A107	1462044640	15	20	18	17
A107	1462044650	10	21	22	20
A107	1462044660	24	11	19	19
A107	1462044670	23	10	23	10
A107	1462044680	22	20	22	17
A107	1462044690	20	22	20	15
A107	1462044700	17	21	21	28
A107	1462044710	4	19	21	19
A107	1462044720	10	16	22	17
A107	1462044730	14	16	18	20
A107	1462044740	30	19	18	16
A107	1462044750	11	26	26	22
A107	1462044760	23	18	20	20
A107	1462044770	25	22	24	17
A107	1462044780	10	19	23	17
A107	1462044790	12	24	24	18
A107	1462044800	23	20	23	20
A107	1462044810	10	15	23	16
A107	1462044820	8	23	25	24
A107	1462044830	20	34	21	15
A107	1462044840	8	33	15	13
A107	1462044850	15	27	28	19
A107	1462044860	15	26	18	25
A107	1462044870	11	27	26	15
A107	1462044880	10	17	20	19
A107	1462044890	13	28	21	17
A107	1462044900	16	24	21	22
A107	1462044910	18	18	21	17
A107	1462044920	17	18	20	20
A107	1462044930	14	23	27	15
A107	1462044940	26	22	18	15
A107	1462044950	30	17	16	19
A107	1462044960	100	27	20	22
A100	1462044260	62	100	18	100
A100	1462044270	72	100	7	17
A100	1462044280	77	18	100	15
A100	1462044290	61	20	20	100
A100	1462044300	77	100	4	8
A100	1462044310	69	17	16	9
A100	1462044320	68	13	22	12
A100	1462044330	72	25	7	3
A100	1462044340	77	18	15	13
A100	1462044350	71	100	100	3
A100	1462044360	67	13	14	15
A100	1462044370	77	16	7	0
A100	1462044380	77	11	16	14
A100	1462044390	67	17	15	15
A100	1462044400	69	16	17	100
A100	1462044410	77	22	21	19
A100	1462044420	71	19	10	2
A100	1462044430	60	19	6	13
A100	1462044440	77	15	21	21
A100	1462044450	69	10	10	100
A100	1462044460	69	100	11	3
A100	1462044470	77	12	13	18
A100	1462044480	77	24	15	6
A100	1462044490	68	100	15	22
A100	1462044500	69	12	18	17
A100	1462044510	66	23	17	22
A100	1462044520	68	23	8	24
A100	1462044530	67	16	17	11
A100	1462044540	68	24	21	15
A100	1462044550	77	100	19	100
A100	1462044560	72	19	11	2
A100	1462044570	77	100	19	17
A100	1462044580	77	13	19	10
A100	1462044590	75	25	17	15
A100	1462044600	77	12	11	15
A100	1462044610	62	20	20	14
A100	1462044620	65	13	16	11
A100	1462044630	66	100	11	8
A100	1462044640	73	25	14	100
A100	1462044650	66	25	12	21
A100	1462044660	77	23	16	14
A100	1462044670	77	15	15	15
A100	1462044680	60	100	13	10
A100	1462044690	67	12	19	0
A100	1462044700	69	19	6	9
A100	1462044710	68	100	15	23
A100	1462044720	72	11	19	100
A100	1462044730	68	24	7	11
A100	1462044740	77	100	10	14
A100	1462044750	75	12	15	10
A100	1462044760	77	18	1	17
A100	1462044770	77	100	17	20
A100	1462044780	69	12	14	1
A100	1462044790	61	21	100	14
A100	1462044800	77	25	14	11
A100	1462044810	67	12	20	16
A100	1462044820	77	18	100	21
A100	1462044830	69	23	16	13
A100	1462044840	71	12	14	14
A100	1462044850	68	19	18	21
A100	1462044860	67	15	9	20
A100	1462044870	71	12	12	13
A100	1462044880	77	15	15	17
A100	1462044890	76	18	5	100
A100	1462044900	77	26	11	9
A100	1462044910	77	100	14	22
A100	1462044920	77	19	12	15
A100	1462044930	71	12	22	12
A100	1462044940	77	18	16	100
A100	1462044950	71	18	0	0
A102	1462044260	100	18	77	23
A102	1462044270	15	12	80	34
A102	1462044280	15	20	77	32
A102	1462044290	16	23	69	28
A102	1462044300	19	12	76	33
A102	1462044310	17	13	76	31
A102	1462044320	10	19	76	25
A102	1462044330	18	16	74	33
A102	1462044340	20	17	72	28
A102	1462044350	16	17	83	31
A102	1462044360	14	15	77	34
A102	1462044370	18	15	74	33
A102	1462044380	16	21	75	34
A102	1462044390	21	19	75	32
A102	1462044400	14	17	78	25
A102	1462044410	10	16	72	32
A102	1462044420	20	15	73	37
A102	1462044430	100	23	76	30
A102	1462044440	100	17	76	36
A102	1462044450	15	16	77	35
A102	1462044460	15	15	75	34
A102	1462044470	20	16	77	29
A102	1462044480	100	17	75	25
A102	1462044490	13	14	74	32
A102	1462044500	16	16	77	34
A102	1462044510	14	16	80	27
A102	1462044520	19	12	78	31
A102	1462044530	12	13	69	29
