docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
B107-150-100-1463735090;150-100;150-100;785;143-038;695;128-038;679;614
MB508-030-050-1463737860;030-050;030-050;1190;015-050;706;053-013;692;652
X7-183-038-1463737620;183-038;143-013;711;135-050;693;143-038;683;746
X20-165-000-1463737050;165-000;165-000;938;150-000;677;165-025;665;883
X4-090-025-1463737980;090-025;075-025;731;053-013;720;105-050;694;452
B106-000-050-1463734080;000-050;000-050;1256;015-050;686;038-038;648;660
MB17-090-050-1463737050;090-050;090-050;780;053-013;700;105-050;699;481
B102-143-038-1463737690;143-038;135-075;774;143-038;735;143-013;681;734
B105-060-050-1463733910;060-050;053-013;722;060-050;710;105-050;704;455
MB17-090-050-1463738100;090-050;090-050;774;053-013;692;105-050;691;481
X3-105-025-1463736900;105-025;090-050;735;053-013;699;105-050;683;507
B105-098-013-1463736760;098-013;053-013;700;038-038;699;105-050;687;504
B106-000-050-1463734380;000-050;000-050;982;015-050;777;038-038;666;638
B13-000-000-1463734200;000-000;000-000;1408;053-013;666;105-050;661;1322
X25-015-075-1463734790;015-075;015-075;1088;000-050;745;045-000;652;839
X20-165-075-1463734400;165-075;135-075;734;143-038;690;150-050;681;808
B108-053-013-1463736950;053-013;053-013;764;105-050;686;075-025;683;566
X7-183-013-1463736910;183-013;143-013;710;158-013;685;165-050;684;697
X23-075-000-1463737010;075-000;053-013;725;068-038;707;075-000;684;623
MB291-180-100-1463736950;180-100;180-100;1528;023-038;671;053-013;663;811
X5-045-025-1463737050;045-025;060-000;1096;053-013;699;083-013;682;788
X20-165-075-1463734870;165-075;165-075;1317;135-075;703;053-013;683;834
X6-015-025-1463734840;015-025;015-025;872;038-038;677;053-013;677;457
MB508-030-050-1463733800;030-050;030-050;1080;015-050;689;053-013;682;718
MB508-030-050-1463736900;030-050;015-050;716;045-025;676;053-013;669;684
B17-060-000-1463734230;060-000;060-000;1096;053-013;699;083-013;682;788
B102-030-000-1463735020;030-000;030-000;1744;030-050;812;053-013;671;955
MB17-090-050-1463737830;090-050;090-050;738;053-013;692;105-050;680;508
X5-045-025-1463733880;045-025;030-050;819;015-050;714;038-038;703;651
X24-045-075-1463734010;045-075;045-075;777;075-075;700;053-013;686;656
B109-038-013-1463736860;038-013;053-013;692;038-038;681;015-025;678;475
B108-090-100-1463734920;090-100;053-013;737;090-100;715;060-050;704;482
X22-105-000-1463737070;105-000;143-013;692;135-025;685;113-013;681;552
B108-090-100-1463735020;090-100;090-050;738;053-013;692;105-050;680;508
B100-150-000-1463733810;150-000;150-000;1532;173-038;703;165-000;703;1188
B105-098-013-1463737110;098-013;098-013;751;105-050;715;053-013;705;416
B100-173-013-1463736530;173-013;135-000;765;173-013;724;165-050;684;856
B17-060-000-1463733870;060-000;060-000;1103;023-038;698;053-013;696;783
X8-023-038-1463737690;023-038;030-000;927;023-038;800;038-038;699;734
X7-183-013-1463736860;183-013;143-013;714;135-025;691;165-025;689;600
MB315-120-100-1463733910;120-100;120-100;860;090-100;669;105-050;647;451
B108-090-100-1463734240;090-100;090-100;795;053-013;705;105-025;688;567
X5-045-025-1463734920;045-025;053-013;709;090-100;687;045-025;684;626
X6-030-025-1463737960;030-025;038-038;715;053-013;685;015-025;675;618
X24-045-075-1463734400;045-075;053-013;707;090-100;703;083-038;686;724
X3-120-025-1463737550;120-025;135-025;732;113-013;678;105-050;668;417
X8-023-013-1463737040;023-013;015-050;751;038-038;680;030-050;669;678
X22-105-075-1463734160;105-075;128-038;690;105-075;688;143-013;683;751
B13-000-000-1463733980;000-000;000-000;1431;053-013;658;180-025;655;1322
